ID;Strassenschlussel;Strasse;HNR;Zusatz;RW;HW;"Stat Bezirk";CL_STR_KEY;CL_HNR;CL-Stat_Bez;lat;lon
157;13;"Albertstraße";26;NULL;410047,664;5476945,575;00230;00013;0026;0230;49.4385124951455;7.759224366005
158;13;"Albertstraße";27;NULL;410048,472;5476913,065;00230;00013;0027;0230;49.438224872917;7.75924541722569
159;13;"Albertstraße";28;NULL;410039,105;5476940,358;00230;00013;0028;0230;49.4384663472206;7.75911517909672
160;13;"Albertstraße";30;NULL;410024,454;5476931,268;00230;00013;0030;0230;49.4383831918933;7.75891036908617
161;13;"Albertstraße";31;NULL;410003,318;5476888,946;00230;00013;0031;0230;49.4379933921948;7.75863053757426
162;13;"Albertstraße";33;NULL;409990,615;5476880,016;00230;00013;0033;0230;49.4379195249712;7.7584530833529
163;13;"Albertstraße";34;NULL;410000,246;5476912,525;00230;00013;0034;0230;49.4382087756671;7.75858371883981
164;13;"Albertstraße";35;NULL;409982,146;5476873,667;00230;00013;0035;0230;49.4378553906963;7.75834435262257
165;13;"Albertstraße";36;NULL;409991,03;5476905,903;00230;00013;0036;0230;49.4381444934498;7.75846119721531
166;13;"Albertstraße";37;NULL;409973,147;5476867,119;00230;00013;0037;0230;49.4378001010471;7.75822160509869
167;13;"Albertstraße";38;NULL;409983,253;5476900,342;00230;00013;0038;0230;49.4380983448133;7.75835201184737
168;13;"Albertstraße";39;NULL;409964,744;5476861,033;00230;00013;0039;0230;49.4377448112693;7.75809885785212
169;13;"Albertstraße";40;NULL;409971,788;5476892,158;00230;00013;0040;0230;49.4380246252599;7.75818834773026
170;13;"Albertstraße";42;NULL;409956,832;5476880,723;00230;00013;0042;0230;49.4379144898661;7.75798422254401
171;13;"Albertstraße";44;NULL;409945,024;5476871,945;00230;00013;0044;0230;49.4378319251219;7.75783457675524
172;14;"Albrechtstraße";2;NULL;411469,076;5477832,376;00130;00014;0002;0130;49.4466979327621;7.77863600356039
173;14;"Albrechtstraße";3;NULL;411472,934;5477779,745;00130;00014;0003;0130;49.446221747578;7.77868922237999
174;14;"Albrechtstraße";4;NULL;411462,454;5477821,256;00130;00014;0004;0130;49.4465979914112;7.77854191329556
175;14;"Albrechtstraße";4;a;411456,835;5477810,805;00130;00014;0004;0130;49.4464981956818;7.77846161594624
176;14;"Albrechtstraße";5;NULL;411450,318;5477744,024;00130;00014;0005;0130;49.4459037919783;7.77839360963655
177;14;"Albrechtstraße";6;NULL;411432,09;5477729,323;00130;00014;0006;0130;49.4457662759961;7.77814869966252
178;14;"Albrechtstraße";7;NULL;411448,437;5477733,053;00130;00014;0007;0130;49.4458045789811;7.77836848305852
179;14;"Albrechtstraße";8;NULL;411428,31;5477706,989;00130;00014;0008;0130;49.4455588570218;7.77809867124102
180;14;"Albrechtstraße";9;NULL;411447,278;5477725,386;00130;00014;0009;0130;49.4457324903006;7.77835647848139
181;14;"Albrechtstraße";11;NULL;411445,187;5477710,189;00130;00014;0011;0130;49.445597305806;7.77833224595379
182;14;"Albrechtstraße";13;NULL;411444,218;5477702,496;00130;00014;0013;0130;49.4455252171201;7.77832024147494
183;14;"Albrechtstraße";15;NULL;411442,698;5477692,131;00130;00014;0015;0130;49.4454349969752;7.77829489174603
184;14;"Albrechtstraße";16;NULL;411426,154;5477694,494;00130;00014;0016;0130;49.4454506510893;7.77807376894248
185;14;"Albrechtstraße";16;a;411424,749;5477686,185;00130;00014;0016;0130;49.4453784166358;7.77804797265592
186;14;"Albrechtstraße";17;NULL;411441,369;5477682,92;00130;00014;0017;0130;49.4453449225398;7.77828333431806
187;14;"Albrechtstraße";18;NULL;411422,937;5477671,066;00130;00014;0018;0130;49.4452432320764;7.77802374113463
188;14;"Albrechtstraße";19;NULL;411438,513;5477661,065;00130;00014;0019;0130;49.445155635072;7.77824665090558
189;14;"Albrechtstraße";20;NULL;411421,531;5477660,57;00130;00014;0020;0130;49.4451441647436;7.77801240777094
190;14;"Albrechtstraße";21;NULL;411436,843;5477649,879;00130;00014;0021;0130;49.4450474291631;7.77822174846879
191;14;"Albrechtstraße";22;NULL;411410,276;5477585,956;00160;00014;0022;0160;49.4444680960586;7.77787746047557
192;14;"Albrechtstraße";23;NULL;411434,961;5477637,295;00130;00014;0023;0130;49.4449392232477;7.77819684613739
193;14;"Albrechtstraße";24;NULL;411408,698;5477568,18;00160;00014;0024;0160;49.4443149257051;7.77785367692849
194;14;"Albrechtstraße";26;NULL;411406,157;5477549,1;00160;00014;0026;0160;49.4441437695987;7.77783034062849
195;14;"Albrechtstraße";27;NULL;411432,202;5477613,753;00160;00014;0027;0160;49.4447231028535;7.77817462586228
196;14;"Albrechtstraße";29;NULL;411430,972;5477605,693;00160;00014;0029;0160;49.4446508684153;7.77814882978939
197;14;"Albrechtstraße";31;NULL;411429,965;5477597,323;00160;00014;0031;0160;49.4445787797026;7.77813682578563
198;14;"Albrechtstraße";33;NULL;411428,58;5477588,101;00160;00014;0033;0160;49.4444976981151;7.77812504531777
199;14;"Albrechtstraße";35;NULL;411427,464;5477578,563;00160;00014;0035;0160;49.4444076236525;7.77811348839033
200;14;"Albrechtstraße";37;NULL;411426,065;5477568,764;00160;00014;0037;0160;49.4443175491877;7.77810193150225
201;14;"Albrechtstraße";39;NULL;411424,659;5477558,618;00160;00014;0039;0160;49.4442273289844;7.77807658275714
202;14;"Albrechtstraße";41;NULL;411423,38;5477548,931;00160;00014;0041;0160;49.444137254514;7.77806502597311
203;14;"Albrechtstraße";43;NULL;411421,938;5477538,753;00160;00014;0043;0160;49.4440470343011;7.7780396773828
204;14;"Albrechtstraße";45;NULL;411420,496;5477528,626;00160;00014;0045;0160;49.4439569598251;7.7780281207028
205;14;"Albrechtstraße";47;NULL;411419,078;5477517,729;00160;00014;0047;0160;49.4438578924733;7.7780167875795
206;15;"Alemannenstraße";1;NULL;405997,006;5475305,483;01640;00015;0001;1640;49.4231517979192;7.70376373109211
207;15;"Alemannenstraße";2;NULL;406012,476;5475282,214;01640;00015;0002;1640;49.4229472850351;7.70397596337803
208;15;"Alemannenstraße";2;a;406019,846;5475278,439;01640;00015;0002;1640;49.4229123960654;7.7040734096146
209;15;"Alemannenstraße";3;NULL;405999,459;5475311,518;01640;00015;0003;1640;49.4232060629147;7.70378988076731
210;15;"Alemannenstraße";4;NULL;406019,397;5475300,191;01640;00015;0004;1640;49.4231102343834;7.70406819855054
211;15;"Alemannenstraße";5;NULL;406005,013;5475326,887;01640;00015;0005;1640;49.4233418799166;7.70386904085185
212;15;"Alemannenstraße";6;NULL;406029,817;5475311,606;01640;00015;0006;1640;49.4232106986058;7.70420344912963
213;15;"Alemannenstraße";8;NULL;406032,014;5475316,797;01640;00015;0008;1640;49.423256125349;7.70424362178814
214;16;"Alex-Müller-Straße";2;NULL;410464,576;5478473,151;00450;00016;0002;0450;49.4523150958503;7.76462964107117
215;16;"Alex-Müller-Straße";4;NULL;410481,393;5478447,563;00450;00016;0004;0450;49.4520837874797;7.76487001642215
216;16;"Alex-Müller-Straße";6;NULL;410486,715;5478435,665;00450;00016;0006;0450;49.4519766103031;7.76494169827139
217;16;"Alex-Müller-Straße";8;NULL;410493,56;5478419,934;00450;00016;0008;0450;49.4518337564279;7.76504187156626
218;16;"Alex-Müller-Straße";10;NULL;410524,593;5478405,575;00450;00016;0010;0450;49.4517124227199;7.76547264671786
219;16;"Alex-Müller-Straße";12;NULL;410540,409;5478409,224;00450;00016;0012;0450;49.4517507498901;7.76569244629449
220;16;"Alex-Müller-Straße";14;NULL;410555,678;5478412,984;00450;00016;0014;0450;49.4517799366197;7.76589867806289
221;16;"Alex-Müller-Straße";16;NULL;410572,431;5478415,406;00450;00016;0016;0450;49.4518094173423;7.76613249800596
222;16;"Alex-Müller-Straße";18;NULL;410520,134;5478449,84;00450;00016;0018;0450;49.4521075176975;7.76540753198517
223;16;"Alex-Müller-Straße";20;NULL;410535,493;5478453,43;00450;00016;0020;0450;49.4521456977627;7.76561353921653
224;16;"Alex-Müller-Straße";22;NULL;410551,254;5478457,294;00450;00016;0022;0450;49.4521840246783;7.76583334083944
225;16;"Alex-Müller-Straße";24;NULL;410567,939;5478459,94;00450;00016;0024;0450;49.4522043655381;7.76605359435581
